country,year,disease_name,disease_category,prevalence_rate,incidence_rate,mortality_rate,age_group,gender,population_affected,healthcare_access,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines_treatment,recovery_rate,improvement_in_5_years,per_capita_income_usd,education_index,urbanization_rate
India,2021,Tuberculosis,Neurological,15.93,3.97,1.26,61+,Female,266334,99.37,4.52,1.34,Medication,30093,Yes,90.19,3.73,9078,0.62,45.23
Mexico,2011,Cholera,Metabolic,7.31,11.14,1.45,36-60,Male,87938,50.61,0.7,8.89,Medication,19796,No,63.41,8.31,97645,0.76,81.46
Brazil,2002,Measles,Viral,6.15,12.77,4.67,36-60,Female,858605,52.39,4.86,3.26,Vaccination,38146,Yes,75.19,9.54,62863,0.58,67.8
South Africa,2012,Zika,Chronic,15.1,11.31,3.13,19-35,Female,67553,76.69,4.39,6.07,Surgery,21188,No,70.32,1.05,58040,0.74,59.6
Brazil,2022,Asthma,Viral,0.78,6.13,2.23,0-18,Male,338964,81.43,4.69,8.44,Therapy,18511,Yes,50.37,4.23,37621,0.56,38.17
Italy,2019,Polio,Viral,11.24,14.41,3.29,19-35,Other,647274,96.3,3.44,8.39,Medication,2714,Yes,65.93,1.98,55347,0.55,48.46
Canada,2021,Hypertension,Genetic,1.34,4.57,5.89,0-18,Female,625761,58.09,1.68,8.67,Therapy,33800,Yes,75.93,1.62,79821,0.62,80.38
Saudi Arabia,2017,Parkinson's Disease,Cardiovascular,5.62,13.19,4.96,36-60,Other,78240,78.66,2.01,3.81,Surgery,2556,No,89.91,6.18,89269,0.57,79.21
India,2003,Influenza,Chronic,14.9,8.9,6.57,36-60,Female,654872,60.31,3.7,2.74,Medication,25188,No,74.21,0.47,44655,0.65,36.13
Argentina,2004,Measles,Genetic,10.78,13.23,7.97,0-18,Male,278568,69.19,2.3,0.68,Vaccination,49121,No,60.58,6.67,86201,0.65,80.38
Brazil,2019,COVID-19,Parasitic,13.82,3.41,6.53,0-18,Male,769093,79.81,3.48,2.95,Vaccination,42715,No,81.94,9.32,87369,0.8,25.69
Canada,2018,Cholera,Chronic,9.83,4.08,9.25,0-18,Male,748463,81.41,4.33,2.09,Surgery,3530,No,71.52,9.35,57398,0.67,25.98
Germany,2007,Leprosy,Viral,0.8,12.9,5.47,61+,Female,838595,78.29,1.99,7.77,Therapy,39923,No,75.37,9.19,61904,0.87,62.6
India,2015,Cancer,Metabolic,16.26,3.8,8.62,19-35,Other,731955,91.29,3.94,9.27,Vaccination,2715,Yes,88.85,3.28,87635,0.52,84.08
China,2005,Measles,Cardiovascular,19.98,14.58,5.47,36-60,Female,935418,70.92,1.25,2.9,Surgery,14360,Yes,54.15,5.9,35136,0.64,60.8
UK,2021,Ebola,Metabolic,8.04,13.9,8.43,0-18,Other,115723,61.73,0.66,8.84,Medication,10408,Yes,52.4,1.55,18753,0.61,76.5
Russia,2001,Cholera,Bacterial,18.65,3.52,5.36,0-18,Female,277389,57.2,1.25,1.34,Vaccination,33957,No,87.09,8.03,63369,0.52,54.63
Canada,2020,Alzheimer's Disease,Neurological,19.44,4.97,4.49,19-35,Male,358765,96.83,0.96,5.29,Therapy,4882,No,94.33,4.44,76615,0.45,86.05
Japan,2015,COVID-19,Genetic,17.75,9.01,2.02,36-60,Female,386256,85.24,1.81,6.51,Surgery,22634,Yes,78.17,1.77,38270,0.65,80.41
South Africa,2014,Zika,Bacterial,8.81,10.63,1.88,0-18,Female,763074,91.51,2.23,9.58,Medication,42731,Yes,74.75,9.35,90468,0.72,49.73
Saudi Arabia,2019,Malaria,Neurological,16.71,2.04,7.52,36-60,Male,381948,91.17,4.63,4.66,Surgery,42797,No,89.89,6.52,75976,0.47,85.42
China,2015,Leprosy,Neurological,12.58,2.5,9.41,0-18,Other,791558,88.05,1.99,8.96,Therapy,33870,No,54.73,5.99,60146,0.71,87.11
Australia,2018,Parkinson's Disease,Viral,16.45,6.26,2.0,36-60,Female,792727,83.35,4.04,1.98,Medication,4078,No,71.55,8.73,76325,0.78,73.46
China,2002,COVID-19,Genetic,15.1,4.65,6.23,36-60,Other,671406,93.84,4.1,3.82,Surgery,2127,Yes,71.58,5.19,66506,0.52,50.76
India,2008,Measles,Metabolic,14.92,4.75,5.93,19-35,Other,268504,81.96,3.54,3.19,Therapy,1105,No,61.34,3.17,29310,0.76,67.93
Saudi Arabia,2019,Alzheimer's Disease,Infectious,3.42,1.62,0.12,0-18,Female,555957,56.29,1.02,1.21,Surgery,26396,No,83.15,9.98,67179,0.74,39.07
South Africa,2006,Dengue,Infectious,12.72,13.57,8.13,61+,Male,801425,72.16,2.92,7.95,Medication,12132,No,55.2,1.34,61190,0.8,77.63
Argentina,2013,Dengue,Genetic,2.66,11.51,2.0,0-18,Male,319919,57.77,4.81,2.96,Surgery,23338,Yes,67.01,9.28,43907,0.6,38.65
Mexico,2019,Measles,Respiratory,14.32,2.58,7.09,19-35,Other,466149,55.54,2.53,4.25,Therapy,7280,No,60.13,6.48,48299,0.82,58.47
South Korea,2020,Cholera,Infectious,3.87,11.74,3.86,36-60,Other,838160,95.86,3.75,8.01,Vaccination,49905,Yes,54.74,1.95,63985,0.59,86.19
Argentina,2006,Cancer,Genetic,2.61,12.26,8.05,19-35,Other,542343,55.94,2.26,7.79,Surgery,8524,Yes,92.55,1.92,19666,0.47,77.85
India,2024,Parkinson's Disease,Cardiovascular,10.18,10.25,4.21,19-35,Male,697074,79.89,0.64,9.41,Therapy,18707,No,94.09,4.27,70252,0.69,55.03
Italy,2012,Alzheimer's Disease,Respiratory,13.22,12.74,8.54,0-18,Other,591468,61.26,4.68,0.74,Medication,17141,No,76.84,5.38,85543,0.82,61.73
UK,2016,Cholera,Bacterial,2.9,6.29,1.14,61+,Female,550058,99.46,3.59,5.64,Therapy,14950,Yes,83.91,4.77,12131,0.86,88.86
Russia,2012,Rabies,Cardiovascular,19.28,11.34,3.12,0-18,Female,918998,74.37,3.01,3.56,Vaccination,12462,No,50.01,9.06,7086,0.88,83.71
Turkey,2016,Influenza,Autoimmune,3.02,11.69,9.44,36-60,Other,312644,60.59,2.74,6.57,Vaccination,36568,No,62.22,8.06,97196,0.56,23.27
Australia,2009,Asthma,Neurological,6.91,12.87,6.84,61+,Female,407357,68.14,1.41,3.32,Therapy,10649,Yes,62.15,7.23,81868,0.66,55.71
Italy,2009,Ebola,Parasitic,11.13,5.03,9.89,0-18,Other,735040,66.17,2.79,2.17,Medication,15628,Yes,64.46,5.38,87720,0.55,63.99
Japan,2017,Malaria,Bacterial,6.71,6.12,3.14,61+,Other,796366,85.87,1.06,1.84,Surgery,35635,Yes,96.09,1.8,76820,0.43,77.84
South Africa,2009,Polio,Neurological,7.14,9.18,6.86,19-35,Male,386267,63.2,2.9,6.06,Therapy,12234,No,97.06,2.3,73725,0.52,58.45
Russia,2008,Hepatitis,Neurological,9.2,12.04,4.27,36-60,Female,161830,83.88,1.23,9.02,Medication,47634,No,69.17,6.85,38603,0.9,57.16
Brazil,2010,COVID-19,Parasitic,0.9,12.71,2.97,36-60,Female,102463,55.58,4.82,1.4,Surgery,13528,No,93.61,6.44,88587,0.56,53.15
Italy,2019,Influenza,Neurological,14.32,3.95,8.3,19-35,Female,937334,85.67,1.77,0.7,Therapy,11971,No,69.74,8.83,97666,0.72,89.11
Saudi Arabia,2015,Parkinson's Disease,Viral,18.75,5.92,8.44,36-60,Male,373280,72.32,2.11,1.12,Therapy,28372,Yes,92.51,7.23,85674,0.63,56.39
South Africa,2001,COVID-19,Respiratory,16.9,5.06,4.77,0-18,Female,173342,91.35,3.33,6.86,Therapy,1583,No,51.49,3.73,82477,0.48,35.41
China,2008,Influenza,Metabolic,18.4,6.02,6.16,61+,Other,904438,68.29,1.55,1.47,Therapy,3570,No,89.42,0.54,37308,0.78,69.08
USA,2015,HIV/AIDS,Autoimmune,2.28,13.07,0.51,61+,Other,400808,93.55,1.9,8.58,Vaccination,19561,No,76.77,5.47,17036,0.75,27.7
Mexico,2017,Tuberculosis,Neurological,3.57,5.71,1.99,19-35,Female,577248,52.72,3.84,9.61,Surgery,45040,Yes,62.23,7.78,15864,0.7,27.82
France,2003,Rabies,Neurological,1.09,0.77,3.37,61+,Female,456767,59.05,2.21,8.51,Surgery,31693,Yes,95.39,6.43,11961,0.89,75.77
Saudi Arabia,2022,Asthma,Metabolic,18.43,3.39,1.74,0-18,Other,985661,69.17,1.36,7.56,Surgery,1111,Yes,74.72,9.31,50617,0.72,45.45
Argentina,2022,Ebola,Chronic,2.53,6.82,6.76,36-60,Male,266731,77.18,0.73,1.72,Vaccination,26087,Yes,80.62,3.19,28723,0.84,33.78
China,2013,Hypertension,Bacterial,19.62,14.77,0.71,0-18,Other,876658,70.65,2.34,9.79,Therapy,47351,Yes,61.57,2.09,69180,0.49,87.32
Mexico,2022,Asthma,Infectious,0.43,11.11,0.67,36-60,Male,686632,77.54,1.2,5.91,Vaccination,39311,Yes,73.18,9.04,61484,0.51,29.03
France,2015,Diabetes,Genetic,12.29,0.21,1.26,19-35,Female,382159,86.06,1.51,9.8,Vaccination,29382,No,63.36,4.81,19506,0.56,54.57
Nigeria,2004,Cholera,Genetic,8.03,3.47,0.27,36-60,Female,767339,58.34,4.55,6.49,Vaccination,16437,No,94.01,8.4,85516,0.75,62.33
South Africa,2010,COVID-19,Respiratory,18.06,4.76,7.96,36-60,Male,74594,93.04,4.46,5.08,Surgery,21499,Yes,69.01,1.07,87846,0.55,48.4
Turkey,2018,Hypertension,Neurological,18.99,6.06,1.82,0-18,Other,957690,87.72,1.75,7.09,Vaccination,44564,No,72.43,9.93,30483,0.83,64.95
Nigeria,2017,COVID-19,Cardiovascular,9.37,1.31,3.02,36-60,Male,270632,84.41,3.66,4.98,Therapy,20203,Yes,50.64,1.08,74972,0.63,30.92
Nigeria,2005,Zika,Genetic,3.88,8.13,3.6,0-18,Male,171306,52.7,4.28,7.82,Vaccination,35489,No,64.68,6.64,92441,0.46,46.96
Russia,2003,Diabetes,Bacterial,12.42,9.31,3.63,19-35,Other,20966,61.37,4.46,9.26,Vaccination,28758,No,65.35,4.52,36080,0.42,22.2
Saudi Arabia,2015,Dengue,Genetic,16.89,5.46,4.43,61+,Female,459842,94.42,2.92,3.29,Therapy,41533,Yes,81.37,0.46,46389,0.8,26.49
Canada,2014,Parkinson's Disease,Genetic,19.56,1.32,0.59,61+,Male,757595,55.29,1.89,8.79,Surgery,21515,Yes,94.68,8.42,31323,0.43,68.29
South Korea,2004,Ebola,Respiratory,17.73,1.44,6.03,36-60,Other,75802,92.86,0.59,4.17,Therapy,23208,Yes,92.02,9.97,59253,0.82,30.82
Nigeria,2007,COVID-19,Parasitic,19.24,5.88,4.29,61+,Male,480087,63.91,2.56,4.25,Medication,3319,Yes,78.73,0.45,85495,0.65,69.27
South Korea,2005,Alzheimer's Disease,Metabolic,12.51,6.07,1.02,0-18,Male,926285,76.85,2.2,3.62,Surgery,20617,Yes,61.11,8.18,88092,0.7,25.17
Germany,2019,Hypertension,Viral,5.59,3.03,3.57,36-60,Other,956337,88.17,1.37,7.38,Surgery,25122,No,91.55,4.63,75321,0.84,40.01
Argentina,2007,Ebola,Respiratory,19.89,10.57,7.11,19-35,Other,55697,75.59,3.22,5.3,Surgery,12350,Yes,80.37,1.89,37709,0.81,55.81
India,2015,Hypertension,Viral,16.96,12.47,6.67,61+,Female,552100,54.74,2.7,6.36,Surgery,43047,Yes,72.85,1.43,96709,0.81,54.9
France,2021,HIV/AIDS,Genetic,17.82,12.46,3.33,61+,Other,653189,63.81,0.61,7.95,Vaccination,4734,Yes,59.67,3.25,17703,0.79,30.4
Argentina,2007,Influenza,Bacterial,11.65,12.28,6.75,36-60,Female,871856,84.17,0.9,3.02,Medication,22512,Yes,98.23,1.23,19628,0.43,21.29
India,2008,Zika,Metabolic,14.78,11.92,0.16,36-60,Other,432891,62.05,1.54,3.78,Vaccination,45474,Yes,55.01,3.39,47146,0.82,51.84
Russia,2020,Malaria,Autoimmune,3.66,0.3,6.5,19-35,Other,861647,83.14,2.57,8.93,Surgery,5135,No,77.94,6.56,21371,0.8,68.56
Russia,2000,Asthma,Autoimmune,9.98,11.83,6.25,19-35,Male,130045,84.64,1.12,2.11,Medication,643,No,54.45,9.09,16791,0.76,39.8
Australia,2021,Alzheimer's Disease,Metabolic,10.29,11.55,7.88,61+,Male,751460,69.36,4.64,4.48,Surgery,43656,No,96.08,0.8,68106,0.8,28.55
Italy,2003,Polio,Neurological,9.93,12.61,2.56,0-18,Male,380659,58.39,1.38,5.8,Surgery,7793,Yes,86.05,7.16,7280,0.64,25.27
Brazil,2008,Malaria,Autoimmune,1.35,2.27,1.6,36-60,Male,164189,90.86,2.61,3.29,Surgery,44984,Yes,98.06,2.97,18313,0.55,41.34
China,2006,Zika,Genetic,10.92,10.78,8.4,61+,Other,598976,99.49,3.12,6.7,Surgery,49790,No,79.93,2.26,3248,0.88,37.2
Indonesia,2009,Tuberculosis,Viral,18.44,0.35,4.86,61+,Other,211818,51.94,3.47,8.23,Vaccination,19167,No,67.52,7.95,18829,0.81,20.54
UK,2017,Malaria,Metabolic,14.38,1.5,5.13,36-60,Male,765519,90.44,4.37,9.06,Surgery,28296,No,58.06,1.86,94965,0.69,67.57
Brazil,2013,Dengue,Respiratory,17.89,11.59,8.22,36-60,Male,907040,90.58,3.18,7.65,Vaccination,37565,No,51.44,9.62,58050,0.54,80.44
France,2001,Dengue,Neurological,5.16,8.29,2.77,36-60,Other,268543,93.33,4.69,2.18,Medication,9325,Yes,62.56,2.8,99230,0.51,32.56
China,2010,Asthma,Respiratory,0.31,14.12,0.71,0-18,Other,110859,54.34,4.3,6.5,Therapy,44651,No,59.03,4.87,44100,0.74,62.53
Nigeria,2008,Malaria,Chronic,15.72,14.42,3.46,0-18,Female,633428,83.92,0.81,3.5,Medication,31562,Yes,77.78,6.89,34842,0.6,24.62
UK,2024,Zika,Parasitic,5.23,12.95,4.93,36-60,Female,768220,74.8,4.92,0.54,Vaccination,38061,Yes,95.84,5.25,78083,0.62,66.58
India,2013,COVID-19,Infectious,13.54,2.74,3.71,36-60,Male,111706,73.39,1.65,6.16,Vaccination,4464,Yes,64.46,4.72,38531,0.7,65.1
Canada,2011,Asthma,Autoimmune,4.47,10.86,6.39,0-18,Male,151176,64.66,2.66,4.33,Medication,6209,No,87.63,3.75,98596,0.64,36.48
Germany,2007,Parkinson's Disease,Bacterial,18.76,13.28,0.87,36-60,Other,290328,99.63,1.05,5.95,Vaccination,43032,No,76.28,0.31,10726,0.52,25.15
China,2006,Alzheimer's Disease,Neurological,19.71,2.01,1.32,36-60,Male,616813,92.78,4.66,6.7,Therapy,3300,Yes,89.69,4.57,33841,0.58,52.31
India,2004,Alzheimer's Disease,Bacterial,14.74,7.81,0.89,61+,Female,990735,70.48,1.78,3.01,Medication,47550,No,78.89,8.85,60115,0.49,64.58
USA,2005,Polio,Cardiovascular,14.45,9.6,9.5,61+,Male,952520,75.57,3.52,6.18,Surgery,33294,Yes,96.14,7.98,18054,0.55,64.67
USA,2002,Rabies,Metabolic,2.67,6.94,6.28,36-60,Female,191161,53.08,1.46,5.33,Vaccination,40299,No,69.29,7.57,93054,0.64,76.76
Australia,2010,Ebola,Infectious,12.01,7.26,9.41,19-35,Female,246763,69.94,1.64,7.55,Surgery,24532,No,91.01,1.3,14299,0.5,34.72
Mexico,2000,Diabetes,Chronic,8.79,10.32,4.2,36-60,Male,742358,89.52,1.54,1.91,Medication,43159,No,62.67,2.0,84101,0.41,28.41
Russia,2011,Dengue,Cardiovascular,3.56,13.31,0.41,36-60,Male,308287,69.7,4.77,3.45,Vaccination,15241,No,88.17,3.33,14721,0.67,35.91
Nigeria,2009,COVID-19,Genetic,5.85,5.74,7.52,36-60,Other,68464,85.31,2.53,5.23,Vaccination,29596,Yes,54.46,9.69,14143,0.79,78.77
South Korea,2023,Cancer,Viral,5.73,14.39,3.48,61+,Female,436159,95.73,3.38,9.92,Medication,12964,No,74.16,2.45,91824,0.55,56.36
Turkey,2011,Zika,Bacterial,3.19,12.25,6.81,36-60,Male,791774,99.56,1.96,5.94,Medication,46597,Yes,70.83,1.67,41170,0.47,64.81
UK,2002,Cancer,Autoimmune,0.18,9.33,0.99,61+,Male,312038,77.45,3.52,4.04,Surgery,42790,No,51.2,7.64,93113,0.74,56.76
Germany,2018,Zika,Cardiovascular,8.25,11.99,9.73,19-35,Male,413456,99.93,3.99,9.88,Therapy,28645,Yes,75.66,5.95,71647,0.42,21.14
China,2019,COVID-19,Genetic,8.62,8.23,9.65,0-18,Female,344196,95.02,3.24,4.18,Medication,23593,No,81.09,3.91,45314,0.8,50.95
France,2003,Parkinson's Disease,Bacterial,18.11,12.97,6.4,36-60,Other,138745,68.06,3.28,1.44,Therapy,49400,Yes,59.31,9.77,89873,0.42,74.7
Indonesia,2009,Cholera,Bacterial,17.07,0.81,8.42,36-60,Other,524700,69.32,2.33,9.54,Vaccination,22705,Yes,79.73,1.35,92928,0.8,77.55
Canada,2016,Diabetes,Infectious,13.21,10.61,6.55,61+,Male,391082,51.66,4.4,2.1,Vaccination,45647,Yes,87.15,7.98,67120,0.56,80.88
India,2003,Rabies,Metabolic,15.58,13.99,6.39,0-18,Female,382376,99.49,0.57,7.82,Medication,8428,Yes,62.87,8.1,55779,0.67,61.82
Canada,2018,Hepatitis,Genetic,18.62,5.32,9.69,0-18,Other,25458,74.96,4.23,2.81,Surgery,17442,No,58.17,3.19,78786,0.68,37.61
Nigeria,2021,Cholera,Neurological,10.45,12.63,6.29,61+,Other,141061,80.01,3.2,1.71,Therapy,20326,Yes,88.68,5.38,72801,0.52,51.94
UK,2021,Cancer,Neurological,2.7,2.28,8.83,0-18,Male,854621,54.9,2.26,1.53,Vaccination,36713,No,62.83,2.26,51158,0.42,72.22
UK,2010,Zika,Chronic,19.34,5.15,5.98,61+,Male,523516,69.77,3.57,3.49,Therapy,48024,Yes,85.08,9.46,11315,0.75,36.0
Indonesia,2008,COVID-19,Cardiovascular,9.05,4.94,3.12,61+,Other,886940,79.8,0.66,3.39,Surgery,49547,Yes,70.0,5.08,64304,0.54,67.94
Germany,2004,Dengue,Parasitic,12.01,1.64,8.96,19-35,Male,773899,99.34,2.2,1.17,Therapy,14573,No,97.8,6.5,9104,0.68,28.53
Argentina,2011,Tuberculosis,Infectious,10.26,13.91,0.17,0-18,Female,754352,60.42,2.15,8.86,Vaccination,8614,No,73.91,0.87,90883,0.52,82.21
India,2021,Tuberculosis,Autoimmune,19.4,12.07,6.45,19-35,Female,43060,99.81,3.53,3.78,Medication,7794,No,81.16,5.05,22578,0.56,41.11
Indonesia,2019,Ebola,Chronic,6.34,4.39,1.03,0-18,Male,914897,85.91,2.98,4.5,Surgery,38550,Yes,90.63,8.15,24629,0.76,23.92
USA,2011,Alzheimer's Disease,Respiratory,12.48,6.92,8.9,36-60,Female,74431,88.1,4.5,9.25,Therapy,20441,No,80.1,4.64,94233,0.4,24.18
South Korea,2020,Tuberculosis,Metabolic,3.31,10.54,4.74,36-60,Other,456512,86.84,4.11,5.4,Surgery,7902,No,78.71,0.08,32531,0.54,22.64
Brazil,2002,Influenza,Cardiovascular,14.89,9.21,9.17,61+,Other,346895,67.42,4.45,8.11,Medication,49458,No,85.93,6.37,10814,0.53,44.81
Argentina,2019,Diabetes,Chronic,15.21,13.2,7.04,0-18,Other,104324,69.29,2.51,1.55,Medication,19892,Yes,62.39,6.62,95083,0.72,31.15
Indonesia,2022,Zika,Chronic,9.25,5.45,5.02,61+,Male,141205,96.28,1.81,0.6,Medication,48835,No,55.48,6.33,79677,0.64,87.24
Brazil,2013,Alzheimer's Disease,Bacterial,12.26,8.08,2.48,0-18,Male,504150,96.26,4.43,8.67,Medication,19237,Yes,76.74,3.12,15781,0.87,38.2
Australia,2018,Dengue,Parasitic,1.24,13.33,7.56,36-60,Other,171592,77.03,3.96,4.32,Medication,36438,Yes,63.39,3.06,59854,0.51,60.12
Japan,2018,Measles,Neurological,19.62,2.84,4.16,36-60,Other,568204,79.51,1.94,3.25,Surgery,33393,No,89.94,4.93,39427,0.61,35.27
Indonesia,2002,Hypertension,Autoimmune,3.26,7.9,8.64,61+,Male,239243,95.55,2.16,9.56,Medication,43461,No,85.59,2.33,11329,0.56,23.8
Germany,2004,Cholera,Bacterial,1.11,10.27,5.79,0-18,Other,716267,60.42,1.27,0.54,Surgery,32522,No,57.25,1.61,71539,0.74,52.08
Argentina,2013,Malaria,Genetic,8.53,14.19,1.49,0-18,Other,611168,55.47,4.17,2.5,Surgery,35404,No,62.53,3.65,83159,0.8,34.54
Germany,2010,Ebola,Bacterial,16.32,8.76,0.7,19-35,Male,231885,82.08,1.43,5.55,Vaccination,46374,No,76.88,7.02,56867,0.64,29.03
India,2021,Tuberculosis,Neurological,2.91,13.76,6.09,19-35,Male,852658,75.81,0.59,6.25,Surgery,3627,No,63.71,3.36,62267,0.41,54.81
Indonesia,2006,Cancer,Bacterial,3.94,7.52,8.83,0-18,Male,567674,59.12,4.11,7.58,Surgery,31774,No,70.49,5.0,3669,0.64,80.6
UK,2005,Leprosy,Infectious,16.3,8.19,9.07,36-60,Male,787471,85.91,4.75,2.53,Therapy,23277,No,73.82,5.79,69156,0.72,64.39
Germany,2001,HIV/AIDS,Viral,5.84,11.82,9.01,36-60,Male,533812,50.24,0.97,9.67,Surgery,175,Yes,74.48,8.73,6668,0.42,54.04
France,2001,Zika,Neurological,10.02,14.84,7.99,36-60,Male,598433,98.91,4.18,0.79,Surgery,36739,No,86.28,6.0,25903,0.51,61.64
Indonesia,2007,Influenza,Respiratory,8.91,12.59,4.71,19-35,Other,951465,64.29,0.52,8.7,Surgery,37447,Yes,88.46,7.16,29927,0.8,55.27
South Africa,2017,Malaria,Infectious,19.5,13.87,8.23,0-18,Male,791548,96.59,4.49,8.49,Therapy,19666,No,50.25,8.28,13087,0.53,47.93
USA,2021,Measles,Parasitic,15.04,13.65,0.55,0-18,Female,635915,89.31,1.59,6.82,Therapy,9961,Yes,84.43,2.74,29044,0.65,44.39
Russia,2014,Influenza,Viral,6.78,2.17,1.93,0-18,Female,746904,89.41,1.83,3.94,Surgery,40900,Yes,76.41,2.68,10136,0.54,45.21
Argentina,2018,Alzheimer's Disease,Viral,18.87,7.26,9.85,0-18,Other,717618,92.19,3.86,4.63,Vaccination,43335,No,97.93,1.33,39495,0.81,59.8
Italy,2016,Influenza,Infectious,0.79,2.36,5.09,19-35,Other,502855,65.34,4.04,1.97,Surgery,10026,No,88.54,8.82,99823,0.45,78.64
China,2011,Rabies,Genetic,11.38,6.91,9.34,19-35,Male,743464,92.37,4.42,1.0,Surgery,30756,No,55.82,4.85,57810,0.59,33.57
Turkey,2002,Asthma,Cardiovascular,8.28,4.4,1.22,61+,Other,798164,59.7,3.76,9.67,Therapy,28885,Yes,67.86,7.82,69636,0.43,75.37
Brazil,2010,Hepatitis,Bacterial,13.88,10.37,7.26,19-35,Other,103527,87.23,1.63,9.25,Therapy,6064,No,91.91,9.11,76010,0.62,80.34
USA,2004,Cancer,Parasitic,9.73,13.2,6.3,61+,Other,136633,79.31,4.67,6.06,Therapy,3777,No,71.82,0.82,91308,0.84,67.69
Indonesia,2023,Cancer,Viral,19.21,4.4,6.5,61+,Female,403951,83.76,0.96,6.63,Medication,366,No,91.72,4.5,53058,0.75,33.26
India,2007,Alzheimer's Disease,Neurological,15.02,1.14,4.2,36-60,Other,639896,55.51,3.66,5.95,Therapy,1527,No,57.42,6.44,13788,0.52,22.25
USA,2004,Dengue,Chronic,4.14,6.15,7.18,19-35,Female,267860,85.9,1.1,0.95,Surgery,29048,No,92.07,6.91,39600,0.63,27.08
Mexico,2015,Asthma,Bacterial,13.76,10.73,4.05,61+,Other,114983,63.77,4.6,3.91,Therapy,38790,Yes,78.37,5.11,89275,0.57,72.34
Canada,2013,Parkinson's Disease,Respiratory,5.1,12.88,4.05,61+,Female,814801,87.2,3.96,0.73,Medication,1626,Yes,53.3,4.98,31024,0.52,33.37
France,2006,Hypertension,Neurological,17.33,11.09,6.23,0-18,Other,196964,52.72,2.8,6.82,Therapy,27849,No,89.62,0.01,59917,0.49,44.28
South Africa,2015,Dengue,Neurological,0.4,12.62,0.24,19-35,Male,381141,56.34,4.03,0.79,Medication,3549,Yes,81.64,0.27,25915,0.7,85.59
China,2021,Diabetes,Viral,2.58,1.25,9.02,61+,Male,39780,96.65,3.63,8.41,Vaccination,47974,Yes,56.37,1.36,14389,0.5,54.4
China,2023,Cholera,Bacterial,12.98,9.05,0.27,61+,Other,463938,60.24,2.2,2.87,Surgery,20785,No,98.95,0.37,8146,0.9,62.92
Germany,2021,Measles,Metabolic,16.95,9.59,7.75,36-60,Female,350663,65.41,1.45,8.28,Therapy,21225,No,80.36,6.42,65897,0.71,72.5
USA,2012,Asthma,Viral,7.5,0.35,4.97,36-60,Female,885135,82.6,1.74,4.36,Surgery,32360,Yes,53.59,2.36,39930,0.47,87.61
UK,2018,COVID-19,Genetic,8.17,6.18,1.29,36-60,Other,993386,69.52,2.61,6.29,Medication,1235,No,57.75,9.18,67083,0.82,75.48
South Korea,2009,COVID-19,Viral,15.1,7.66,0.75,36-60,Other,867421,50.09,4.45,7.07,Surgery,23126,No,95.47,1.43,79788,0.51,77.65
South Korea,2021,Rabies,Neurological,2.03,7.68,0.52,19-35,Other,847353,54.84,4.3,8.84,Medication,14735,No,51.15,0.8,74815,0.46,64.58
Mexico,2023,COVID-19,Chronic,13.0,9.88,3.59,36-60,Other,950195,66.17,4.61,8.57,Therapy,45842,No,97.52,4.37,51391,0.84,84.21
South Korea,2022,Ebola,Viral,14.05,11.24,3.12,0-18,Female,835705,71.75,4.58,8.65,Medication,5951,No,81.92,8.09,41792,0.47,57.01
South Korea,2024,Measles,Parasitic,19.84,10.13,2.29,19-35,Other,245559,68.22,4.91,0.79,Therapy,13314,No,53.6,1.12,75474,0.62,27.19
Saudi Arabia,2010,HIV/AIDS,Genetic,10.31,1.26,5.22,36-60,Male,717108,65.28,1.8,1.81,Surgery,12586,Yes,96.54,7.46,775,0.88,49.7
Nigeria,2010,Hypertension,Metabolic,7.94,10.53,5.0,19-35,Female,412920,96.66,3.28,2.01,Vaccination,21692,No,65.92,2.81,46333,0.83,48.04
Turkey,2001,Leprosy,Metabolic,13.25,13.02,3.61,36-60,Other,205116,75.52,3.28,0.59,Therapy,34578,No,74.81,8.23,9667,0.54,61.24
Nigeria,2001,Dengue,Respiratory,11.63,10.2,9.67,36-60,Other,813331,85.04,2.45,9.92,Medication,3764,Yes,68.42,1.01,13333,0.73,41.75
South Africa,2012,COVID-19,Autoimmune,12.57,13.23,1.43,19-35,Male,92993,58.6,0.75,8.62,Medication,21437,Yes,84.09,0.5,33007,0.48,88.35
Mexico,2010,COVID-19,Autoimmune,3.85,7.32,4.11,36-60,Female,223745,85.93,4.68,6.56,Vaccination,8892,No,90.7,0.47,55018,0.49,34.87
Italy,2009,Asthma,Infectious,12.79,9.24,9.94,61+,Male,503213,58.89,3.95,6.56,Surgery,32353,Yes,54.25,1.19,68832,0.44,81.42
Germany,2009,Tuberculosis,Parasitic,2.07,3.34,9.68,19-35,Male,242014,73.84,2.49,9.73,Medication,19932,No,77.9,8.59,79605,0.46,67.28
Nigeria,2015,Hepatitis,Genetic,4.27,14.9,3.95,19-35,Other,48208,83.21,2.12,3.21,Medication,28874,No,61.61,2.66,78747,0.43,47.07
UK,2016,Ebola,Viral,13.25,11.91,7.51,19-35,Female,645970,55.57,4.95,3.87,Medication,10989,Yes,54.44,6.13,59091,0.57,39.69
South Africa,2014,Rabies,Chronic,13.66,4.69,6.52,19-35,Male,484455,98.99,4.63,8.4,Therapy,36686,No,83.81,2.88,82515,0.41,37.94
